,Timestamps,Number of Bursts,ISIn,IRT,MI,CMA,RS,PS
0,134,0,0,0,0,0,0,0
1,149,0,0,0,0,0,0,0
2,144,0,0,0,0,0,0,0
3,109,0,0,0,0,0,0,0
4,151,0,0,0,0,0,0,0
5,146,0,0,0,0,0,0,0
6,149,0,0,0,0,0,0,0
7,129,0,0,0,0,0,0,0
8,146,0,0,0,0,0,0,0
9,129,0,0,0,0,0,0,0
10,131,0,0,0,0,0,0,0
11,128,0,0,0,0,0,0,0
12,140,0,0,0,0,0,0,0
13,134,0,0,0,0,0,0,0
14,154,0,0,0,0,0,0,0
15,137,0,0,0,0,0,0,0
16,144,0,0,0,0,0,0,0
17,117,0,0,0,0,0,0,0
18,132,0,0,0,0,0,0,0
19,123,0,0,0,0,0,0,0
20,119,0,0,0,0,0,0,0
21,120,0,0,0,0,0,0,0
22,125,0,0,0,0,0,0,0
23,115,0,0,0,0,0,0,0
24,131,0,0,0,0,0,0,0
25,155,0,0,0,0,0,0,0
26,139,0,0,0,0,0,0,0
27,142,0,0,0,0,0,0,0
28,124,0,0,0,0,0,0,0
29,109,0,0,0,0,0,0,0
30,127,0,0,0,0,0,0,0
31,137,0,0,0,0,0,0,0
32,109,0,0,0,0,0,0,0
33,140,0,0,0,0,0,0,0
34,141,0,0,0,0,0,0,0
35,144,0,0,0,0,0,0,0
36,126,0,0,0,0,0,0,0
37,125,0,0,0,0,0,0,0
38,136,0,0,0,0,0,0,0
39,123,0,0,0,0,0,0,0
40,119,0,0,0,0,0,0,0
41,142,0,0,0,0,0,0,0
42,148,0,0,0,0,0,0,0
43,136,0,0,0,0,0,0,0
44,149,0,0,0,0,0,0,0
45,132,0,0,0,0,0,0,0
46,141,0,0,0,0,0,0,0
47,136,0,0,0,0,0,0,0
48,128,0,0,0,0,0,0,0
49,135,0,0,0,0,0,0,0
50,138,0,0,0,0,0,0,0
51,138,0,0,0,0,0,0,0
52,146,0,0,0,0,0,0,0
53,140,0,0,0,0,0,0,0
54,113,0,0,0,0,0,0,0
55,129,0,0,0,0,0,0,0
56,132,0,0,0,0,0,0,0
57,123,0,0,0,0,0,0,0
58,135,0,0,0,0,0,0,0
59,142,0,0,0,0,0,0,0
60,145,0,0,0,0,0,0,0
61,137,0,0,0,0,0,0,0
62,146,0,0,0,0,0,0,0
63,136,0,0,0,0,0,0,0
64,130,0,0,0,0,0,0,0
65,143,0,0,0,0,0,0,0
66,148,0,0,0,0,0,0,0
67,146,0,0,0,0,0,0,0
68,141,0,0,0,0,0,0,0
69,137,0,0,0,0,0,0,0
70,139,0,0,0,0,0,0,0
71,122,0,0,0,0,0,0,0
72,136,0,0,0,0,0,0,0
73,145,0,0,0,0,0,0,0
74,125,0,0,0,0,0,0,0
75,137,0,0,0,0,0,0,0
76,147,0,0,0,0,0,0,0
77,142,0,0,0,0,0,0,0
78,144,0,0,0,0,0,0,0
79,120,0,0,0,0,0,0,0
80,125,0,0,0,0,0,0,0
81,128,0,0,0,0,0,0,0
82,146,0,0,0,0,0,0,0
83,145,0,0,0,0,0,0,0
84,139,0,0,0,0,0,0,0
85,144,0,0,0,0,0,0,0
86,142,0,0,0,0,0,0,0
87,118,0,0,0,0,0,0,0
88,120,0,0,0,0,0,0,0
89,140,0,0,0,0,0,0,0
90,146,0,0,0,0,0,0,0
91,121,0,0,0,0,0,0,0
92,133,0,0,0,0,0,0,0
93,138,0,0,0,0,0,0,0
94,117,0,0,0,0,0,0,0
95,126,0,0,0,0,0,0,0
96,146,0,0,0,0,0,0,0
97,148,0,0,0,0,0,0,0
98,137,0,0,0,0,0,0,0
99,134,0,0,0,0,0,0,0
