,Timestamps,Number of Bursts,ISIn,ISIn2,PS,MI,RS,CMA
0,128,0,0,0,0,0,1,8
1,127,0,0,0,0,0,0,8
2,128,0,0,0,0,0,0,9
3,120,0,0,0,0,0,0,8
4,132,0,0,0,0,0,0,7
5,146,0,0,0,0,0,0,7
6,128,0,0,0,0,0,0,6
7,122,0,0,0,0,0,0,2
8,138,0,0,0,0,0,0,8
9,110,0,0,0,0,0,0,1
10,121,0,0,0,0,0,0,3
11,147,0,0,0,0,0,0,7
12,131,0,0,0,0,0,0,7
13,137,0,0,0,0,0,0,4
14,121,0,0,0,0,0,0,4
15,132,0,0,0,0,0,0,6
16,133,0,0,0,0,0,0,8
17,138,0,0,0,0,0,0,6
18,127,0,0,0,0,0,0,2
19,128,0,0,0,0,0,0,3
20,124,0,0,0,0,0,0,7
21,128,0,0,0,0,0,0,9
22,130,0,0,0,0,0,0,7
23,137,0,0,0,0,0,0,7
24,143,0,0,0,0,0,0,9
25,119,0,0,0,0,0,0,4
26,123,0,0,0,0,0,1,8
27,147,0,0,0,0,0,0,7
28,128,0,0,0,0,0,0,7
29,141,0,0,0,0,0,0,4
30,145,0,0,0,0,0,0,7
31,118,0,0,0,0,0,0,8
32,141,0,0,0,0,0,0,11
33,134,0,0,0,0,0,0,11
34,146,0,0,0,0,0,0,7
35,115,0,0,0,0,0,0,7
36,128,0,0,0,0,0,0,7
37,127,0,0,0,0,0,0,5
38,132,0,0,0,0,0,0,8
39,119,0,0,0,0,0,0,5
40,140,0,0,0,0,0,0,8
41,132,0,0,0,0,0,0,7
42,141,0,0,0,0,0,1,6
43,144,0,0,0,0,0,0,9
44,144,0,0,0,0,0,0,9
45,136,0,0,0,0,0,0,2
46,105,0,0,0,0,0,0,7
47,142,0,0,0,0,0,1,6
48,140,0,0,0,0,0,0,2
49,145,0,0,0,0,0,0,5
50,142,0,0,0,0,0,0,5
51,149,0,0,0,0,0,0,4
52,136,0,0,0,0,0,1,7
53,145,0,0,0,0,0,0,6
54,131,0,0,0,0,0,0,7
55,133,0,0,0,0,0,0,7
56,139,0,0,0,0,0,0,6
57,123,0,0,0,0,0,0,6
58,147,0,0,0,0,0,0,11
59,137,0,0,0,0,0,0,9
60,132,0,0,0,0,0,0,3
61,141,0,0,0,0,0,0,8
62,136,0,0,0,0,0,0,4
63,152,0,0,0,0,0,0,10
64,115,0,0,0,0,0,0,4
65,125,0,0,0,0,0,0,6
66,154,0,0,0,0,0,1,9
67,120,0,0,0,0,0,0,4
68,130,0,0,0,0,0,0,5
69,152,0,0,0,0,0,0,10
70,122,0,0,0,0,0,0,8
71,117,0,0,0,0,0,0,5
72,144,0,0,0,0,0,1,8
73,150,0,0,0,0,0,0,2
74,137,0,0,0,0,0,0,7
75,133,0,0,0,0,0,1,7
76,134,0,0,0,0,0,0,1
77,145,0,0,0,0,0,0,6
78,147,0,0,0,0,0,0,9
79,119,0,0,0,0,0,0,8
80,117,0,0,0,0,0,0,4
81,112,0,0,0,0,0,0,2
82,142,0,0,0,0,0,0,9
83,154,0,0,0,0,0,0,8
84,122,0,0,0,0,0,2,9
85,133,0,0,0,0,0,0,7
86,137,0,0,0,0,0,1,8
87,160,0,0,0,0,0,0,10
88,155,0,0,0,0,0,0,9
89,134,0,0,0,0,0,0,5
90,134,0,0,0,0,0,0,8
91,147,0,0,0,0,0,0,2
92,137,0,0,0,0,0,0,11
93,134,0,0,0,0,0,0,5
94,130,0,0,0,0,0,0,7
95,129,0,0,0,0,0,0,7
96,165,0,0,0,0,0,0,6
97,132,0,0,0,0,0,1,7
98,137,0,0,0,0,0,0,5
99,150,0,0,0,0,0,0,8
